Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Longest_Stint,Tyre_Compound,Qualifying_Time(s),Starting_Pos,Race_Result,rain_probability,Temprature
ALB,83.13,81.847,81.664,36.65003125,20.8983125,42.942392857,100.398928571,11,HARD,80.941,15.0,12.0,0,19.88
ANT,81.376,79.943,80.324,36.042935483,19.78816129,41.798555555,95.665076923,15,HARD,78.811,2.0,2.0,0,19.88
BEA,82.682,81.326,80.778,39.039838709,20.835774193,41.873785714,102.07275,15,HARD,80.311,12.0,7.0,0,19.88
BOR,81.696,81.668,80.459,39.209964285,20.777285714,46.70892,99.549181818,9,MEDIUM,80.221,10.0,9.0,0,19.88
BOT,84.022,83.66,83.514,37.285821428,20.556821428,43.6046,101.50036,15,MEDIUM,83.244,19.0,19.0,0,19.88
COL,83.325,82.619,81.413,38.297846153,22.258222222,45.171583333,101.418318181,11,MEDIUM,81.27,16.0,14.0,0,19.88
GAS,84.035,82.167,81.071,37.261133333,22.742125,41.458428571,99.050307692,11,MEDIUM,80.501,14.0,10.0,0,19.88
HAD,81.087,80.941,80.137,36.938357142,23.917321428,42.749958333,99.028217391,13,MEDIUM,79.303,3.0,20.0,0,19.88
HAM,80.736,80.05,79.669,36.481677419,21.75396875,43.648655172,99.92,13,HARD,79.478,7.0,4.0,0,19.88
HUL,81.969,81.351,81.067,34.139484848,20.528764705,41.426838709,93.962482758,10,MEDIUM,80.303,11.0,22.0,0,19.88
LAW,82.613,81.358,80.89,35.426965517,21.766172413,41.59772,97.6478,14,MEDIUM,79.994,8.0,13.0,0,19.88
LEC,80.267,80.291,79.827,37.004633333,20.809666666,45.400444444,99.48636,10,HARD,79.327,4.0,3.0,0,19.88
LIN,81.313,80.922,80.838,39.199866666,20.971933333,43.092518518,101.070296296,15,SOFT,81.247,9.0,8.0,0,19.88
NOR,84.391,80.794,80.443,33.216285714,20.360862068,42.638692307,92.236041666,16,SOFT,79.475,6.0,5.0,0,19.88
OCO,82.161,81.179,80.983,39.771344827,20.526620689,45.612115384,102.046375,10,HARD,80.491,13.0,11.0,0,19.88
PER,84.62,,84.397,40.0335,21.311,53.61,118.806,2,SOFT,82.605,18.0,16.0,0,19.88
PIA,81.342,79.729,80.087,36.638115384,20.288807692,43.384,96.971181818,10,HARD,79.38,5.0,21.0,0,19.88
RUS,81.371,80.049,79.053,38.616071428,20.045714285,42.000041666,101.140833333,13,HARD,78.518,1.0,1.0,0,19.88
SAI,82.323,82.253,,35.224,21.1421,44.954666666,102.363111111,7,MEDIUM,,,15.0,0,19.88
VER,80.789,80.366,80.197,37.872230769,19.745,41.107,93.8623,5,MEDIUM,,,6.0,0,19.88
