index,Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),LongRun(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Starting_Grid_Position,Season_Points,Season_Average_Finish,Team,Constructor_Position,Driver_DNF_Rate,Team_DNF_Rate,Team_Average_Finish,Rolling_Team_Performance,Qualifying_Time(s),Final_Standing,Season,Round
4,GRO,75.074,74.179,73.378,,18.750689655,42.808090909,27.968125,89.100714285,11,SOFT,,2.0,15.6,Haas F1 Team,9,,,,,,,2019,11
5,HAM,74.315,73.595,72.793,,20.992807692,44.085233333,29.3388,92.763346153,9,MEDIUM,,223.0,1.6,Mercedes,1,,,,,,,2019,11
6,HUL,75.823,74.472,73.496,,18.465818181,41.421730769,27.505,85.093772727,14,SOFT,,17.0,12.2,Renault,5,,,,,,,2019,11
7,KUB,76.559,76.98,75.54,,18.92847619,43.615846153,29.13676923,90.270380952,7,MEDIUM,,0.0,17.3,Williams,10,,,,,,,2019,11
8,KVY,75.776,74.8,73.767,,20.2568,42.801763157,28.274552631,90.268294117,11,HARD,,12.0,12.6,Toro Rosso,7,,,,,,,2019,11
9,LEC,74.268,73.449,72.38,,21.408296296,40.11559375,28.124125,88.653296296,8,HARD,,120.0,5.4,Ferrari,2,,,,,,,2019,11
10,MAG,75.759,75.47,72.893,,19.62073913,43.361222222,28.167925925,91.113260869,9,MEDIUM,,14.0,13.9,Haas F1 Team,9,,,,,,,2019,11
11,NOR,75.616,75.247,73.556,,18.819541666,42.66875862,29.570068965,90.518833333,8,HARD,,22.0,12.1,McLaren,4,,,,,,,2019,11
12,PER,75.604,74.518,73.476,,18.126923076,40.413033333,26.953724137,83.44368,14,SOFT,,13.0,11.6,Racing Point,8,,,,,,,2019,11
13,RAI,75.953,74.458,73.351,,19.648689655,41.244875,27.57571875,87.774678571,9,MEDIUM,,25.0,10.4,Alfa Romeo Racing,6,,,,,,,2019,11
14,RIC,75.567,75.01,73.816,,19.425448275,40.8955625,27.0405,85.240142857,14,SOFT,,22.0,12.1,Renault,5,,,,,,,2019,11
15,RUS,77.126,76.9,75.824,,24.427043478,44.3265,28.877076923,97.492318181,7,HARD,,0.0,16.1,Williams,10,,,,,,,2019,11
16,SAI,75.062,74.662,73.3,,21.019066666,40.902818181,28.403727272,89.601413793,12,SOFT,,38.0,10.5,McLaren,4,,,,,,,2019,11
17,STR,75.191,74.268,73.672,,19.792714285,41.143612903,27.825903225,86.242259259,13,HARD,,6.0,12.8,Racing Point,8,,,,,,,2019,11
18,VER,74.33,74.133,72.548,,20.376,41.914454545,27.733727272,88.951647058,8,MEDIUM,,136.0,3.7,Red Bull Racing,3,,,,,,,2019,11
19,VET,74.013,73.573,72.644,,22.257038461,42.0138,28.872827586,91.92136,11,MEDIUM,,123.0,4.8,Ferrari,2,,,,,,,2019,11
