Driver,Position
ANT,1.0
RUS,2.0
VER,3.0
NOR,4.0
PIA,5.0
HAM,6.0
GAS,7.0
LIN,8.0
COL,9.0
TSU,10.0
BOR,11.0
HUL,12.0
SAI,13.0
LAW,14.0
BEA,15.0
OCO,16.0
ALB,17.0
PER,18.0
BOT,19.0
STR,20.0
ALO,21.0
LEC,22.0
