Driver,Position
LEC,1.0
RUS,2.0
HAM,3.0
NOR,4.0
HAD,5.0
LAW,6.0
LIN,7.0
BOR,8.0
COL,9.0
GAS,10.0
PIA,11.0
BEA,12.0
OCO,13.0
PER,14.0
ANT,15.0
BOT,16.0
SAI,17.0
ALO,18.0
STR,19.0
VER,20.0
ALB,21.0
HUL,22.0
