Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
NOR,McLaren,11.0,,0.0,92.901,92.608,91.118,35.490227272,44.99044,26.18508,105.583272727,89.614,7.0,6.0,0.0,0.0
PIA,McLaren,11.0,,0.0,93.113,90.784,91.21,34.476416666,44.582888888,25.622222222,103.818166666,89.683,8.0,8.0,0.0,0.0
VER,Red Bull Racing,11.0,,0.0,93.238,90.851,91.062,34.702727272,44.53224,26.92504,102.493190476,89.179,1.0,1.0,0.0,0.0
HAD,Red Bull Racing,11.0,,0.0,,,,,,,,,,,,
LEC,Ferrari,11.0,,0.0,93.268,91.113,91.094,36.70773913,46.678346153,27.697076923,107.856863636,89.407,2.0,4.0,0.0,0.0
HAM,Ferrari,11.0,,0.0,93.302,90.374,91.452,35.130772727,45.67564,26.56548,101.43305,89.71,9.0,7.0,0.0,0.0
RUS,Mercedes,11.0,,0.0,93.251,90.58,91.19,37.41295,47.737652173,26.271913043,106.592944444,89.485,3.0,5.0,0.0,0.0
ANT,Mercedes,11.0,,0.0,,,,,,,,,,,,
ALO,Aston Martin,11.0,,0.0,93.193,90.66,90.965,34.509888888,45.203181818,26.649272727,105.022111111,89.542,6.0,9.0,0.0,0.0
STR,Aston Martin,11.0,,0.0,93.868,90.891,91.396,35.679913043,45.961615384,26.728807692,105.804863636,90.2,12.0,10.0,0.0,0.0
ALB,Williams,11.0,,0.0,93.583,91.333,91.965,35.533045454,45.24626923,25.847538461,106.156136363,90.221,13.0,15.0,0.0,0.0
SAI,Williams,11.0,,0.0,93.385,90.769,90.824,38.49990909,47.20548,27.56028,108.663,89.507,4.0,3.0,0.0,0.0
OCO,Haas F1 Team,11.0,,0.0,94.807,92.027,92.124,36.721272727,48.30656,26.742,109.318761904,90.793,19.0,17.0,0.0,0.0
BEA,Haas F1 Team,11.0,,0.0,,,,,,,,,,,,
GAS,Alpine,11.0,,0.0,95.144,91.951,92.382,36.61940909,46.72096,26.36576,109.341818181,90.948,20.0,18.0,0.0,0.0
COL,Alpine,11.0,,0.0,,,,,,,,,,,,
HUL,Audi,11.0,,0.0,97.938,90.884,91.278,34.79035,45.52647826,26.521130434,104.047368421,90.502,10.0,16.0,0.0,
BOR,Audi,11.0,,0.0,,,,,,,,,,,,
PER,Cadillac,11.0,,0.0,93.413,91.115,91.248,36.068869565,44.742576923,25.888346153,104.155,89.537,5.0,2.0,0.0,
BOT,Cadillac,11.0,,0.0,93.354,92.001,92.096,37.062,45.67028,25.94636,105.441619047,90.756,16.0,19.0,0.0,
LAW,Racing Bulls,11.0,,0.0,,,,,,,,,,,,
LIN,Racing Bulls,11.0,,0.0,,,,,,,,,,,,
