Driver,Position
ANT,1.0
LEC,2.0
VER,3.0
HAM,4.0
PIA,5.0
HAD,6.0
NOR,7.0
BOR,8.0
LIN,9.0
COL,10.0
GAS,11.0
LAW,12.0
HUL,13.0
BEA,14.0
ALB,15.0
SAI,16.0
OCO,17.0
BOT,18.0
ALO,19.0
STR,20.0
PER,21.0
RUS,22.0
