Driver,Position
ANT,1.0
VER,2.0
NOR,3.0
LEC,4.0
RUS,5.0
LAW,6.0
COL,7.0
PIA,8.0
LIN,9.0
HUL,10.0
OCO,11.0
GAS,12.0
BOR,13.0
TSU,14.0
ALB,15.0
BEA,16.0
ALO,17.0
BOT,18.0
SAI,19.0
PER,20.0
STR,21.0
HAM,22.0
