Driver,Position
NOR,1.0
VER,2.0
ANT,3.0
LEC,4.0
HAM,5.0
HAD,6.0
RUS,7.0
LAW,8.0
HUL,9.0
LIN,10.0
BOR,11.0
GAS,12.0
STR,13.0
ALO,14.0
COL,15.0
OCO,16.0
ALB,17.0
SAI,18.0
BEA,19.0
PIA,20.0
PER,21.0
BOT,22.0
