Driver,Position
NOR,1.0
ANT,2.0
RUS,3.0
HAM,4.0
LEC,5.0
PIA,6.0
LAW,7.0
HUL,8.0
ALO,9.0
GAS,10.0
TSU,11.0
LIN,12.0
BOR,13.0
COL,14.0
PER,15.0
SAI,16.0
ALB,17.0
BOT,18.0
OCO,19.0
STR,20.0
BEA,21.0
VER,22.0
